,Team,year,Distance,Frequency,Win,ORtg
453,Chicago Bulls,2001,10-16 ft,0.175,0.183,98.12
454,Chicago Bulls,2001,Over 16 ft,0.251,0.183,98.12
455,Chicago Bulls,2001,3P,0.148,0.183,98.12
456,Chicago Bulls,2002,0-3 ft,0.295,0.256,99.05
457,Chicago Bulls,2002,3-10 ft,0.111,0.256,99.05
458,Chicago Bulls,2002,10-16 ft,0.161,0.256,99.05
459,Chicago Bulls,2002,Over 16 ft,0.299,0.256,99.05
460,Chicago Bulls,2002,3P,0.134,0.256,99.05
461,Chicago Bulls,2003,0-3 ft,0.324,0.366,101.03
462,Chicago Bulls,2003,3-10 ft,0.169,0.366,101.03
463,Chicago Bulls,2003,10-16 ft,0.148,0.366,101.03
464,Chicago Bulls,2003,Over 16 ft,0.211,0.366,101.03
465,Chicago Bulls,2003,3P,0.148,0.366,101.03
466,Chicago Bulls,2004,0-3 ft,0.283,0.28,97.49
467,Chicago Bulls,2004,3-10 ft,0.13,0.28,97.49
468,Chicago Bulls,2004,10-16 ft,0.142,0.28,97.49
469,Chicago Bulls,2004,Over 16 ft,0.259,0.28,97.49
470,Chicago Bulls,2004,3P,0.186,0.28,97.49
471,Chicago Bulls,2005,0-3 ft,0.297,0.573,102.14
472,Chicago Bulls,2005,3-10 ft,0.144,0.573,102.14
473,Chicago Bulls,2005,10-16 ft,0.128,0.573,102.14
474,Chicago Bulls,2005,Over 16 ft,0.214,0.573,102.14
475,Chicago Bulls,2005,3P,0.217,0.573,102.14
476,Chicago Bulls,2006,0-3 ft,0.292,0.5,104.64
477,Chicago Bulls,2006,3-10 ft,0.106,0.5,104.64
478,Chicago Bulls,2006,10-16 ft,0.114,0.5,104.64
479,Chicago Bulls,2006,Over 16 ft,0.269,0.5,104.64
480,Chicago Bulls,2006,3P,0.219,0.5,104.64
481,Chicago Bulls,2007,0-3 ft,0.302,0.598,105.71
482,Chicago Bulls,2007,3-10 ft,0.1,0.598,105.71
483,Chicago Bulls,2007,10-16 ft,0.118,0.598,105.71
484,Chicago Bulls,2007,Over 16 ft,0.295,0.598,105.71
485,Chicago Bulls,2007,3P,0.186,0.598,105.71
486,Chicago Bulls,2008,0-3 ft,0.306,0.402,104.65
487,Chicago Bulls,2008,3-10 ft,0.102,0.402,104.65
488,Chicago Bulls,2008,10-16 ft,0.12,0.402,104.65
489,Chicago Bulls,2008,Over 16 ft,0.282,0.402,104.65
490,Chicago Bulls,2008,3P,0.19,0.402,104.65
491,Chicago Bulls,2009,0-3 ft,0.33,0.5,109.32
492,Chicago Bulls,2009,3-10 ft,0.084,0.5,109.32
493,Chicago Bulls,2009,10-16 ft,0.104,0.5,109.32
494,Chicago Bulls,2009,Over 16 ft,0.293,0.5,109.32
495,Chicago Bulls,2009,3P,0.189,0.5,109.32
496,Chicago Bulls,2010,0-3 ft,0.331,0.5,104.24
497,Chicago Bulls,2010,3-10 ft,0.105,0.5,104.24
498,Chicago Bulls,2010,10-16 ft,0.108,0.5,104.24
499,Chicago Bulls,2010,Over 16 ft,0.3,0.5,104.24
500,Chicago Bulls,2010,3P,0.156,0.5,104.24
501,Chicago Bulls,2011,0-3 ft,0.304,0.756,109.3
502,Chicago Bulls,2011,3-10 ft,0.151,0.756,109.3
503,Chicago Bulls,2011,10-16 ft,0.102,0.756,109.3
504,Chicago Bulls,2011,Over 16 ft,0.229,0.756,109.3
505,Chicago Bulls,2011,3P,0.215,0.756,109.3
506,Chicago Bulls,2012,0-3 ft,0.297,0.758,108.22
507,Chicago Bulls,2012,3-10 ft,0.142,0.758,108.22
508,Chicago Bulls,2012,10-16 ft,0.116,0.758,108.22
509,Chicago Bulls,2012,Over 16 ft,0.241,0.758,108.22
510,Chicago Bulls,2012,3P,0.205,0.758,108.22
511,Chicago Bulls,2013,0-3 ft,0.306,0.549,104.23
512,Chicago Bulls,2013,3-10 ft,0.139,0.549,104.23
513,Chicago Bulls,2013,10-16 ft,0.14,0.549,104.23
514,Chicago Bulls,2013,Over 16 ft,0.226,0.549,104.23
515,Chicago Bulls,2013,3P,0.189,0.549,104.23
516,Chicago Bulls,2014,0-3 ft,0.297,0.585,103.49
517,Chicago Bulls,2014,3-10 ft,0.148,0.585,103.49
518,Chicago Bulls,2014,10-16 ft,0.112,0.585,103.49
519,Chicago Bulls,2014,Over 16 ft,0.222,0.585,103.49
520,Chicago Bulls,2014,3P,0.222,0.585,103.49
521,Chicago Bulls,2015,0-3 ft,0.308,0.61,108.48
522,Chicago Bulls,2015,3-10 ft,0.156,0.61,108.48
523,Chicago Bulls,2015,10-16 ft,0.099,0.61,108.48
524,Chicago Bulls,2015,Over 16 ft,0.163,0.61,108.48
525,Chicago Bulls,2015,3P,0.269,0.61,108.48
526,Chicago Bulls,2016,0-3 ft,0.291,0.512,105.85
527,Chicago Bulls,2016,3-10 ft,0.162,0.512,105.85
528,Chicago Bulls,2016,10-16 ft,0.117,0.512,105.85
529,Chicago Bulls,2016,Over 16 ft,0.185,0.512,105.85
530,Chicago Bulls,2016,3P,0.244,0.512,105.85
531,Chicago Bulls,2017,0-3 ft,0.28,0.5,108.04
532,Chicago Bulls,2017,3-10 ft,0.167,0.5,108.04
533,Chicago Bulls,2017,10-16 ft,0.117,0.5,108.04
534,Chicago Bulls,2017,Over 16 ft,0.179,0.5,108.04
535,Chicago Bulls,2017,3P,0.256,0.5,108.04
536,Chicago Bulls,2018,0-3 ft,0.254,0.329,104.39
537,Chicago Bulls,2018,3-10 ft,0.165,0.329,104.39
538,Chicago Bulls,2018,10-16 ft,0.095,0.329,104.39
539,Chicago Bulls,2018,Over 16 ft,0.135,0.329,104.39
540,Chicago Bulls,2018,3P,0.35,0.329,104.39
541,Cleveland Cavaliers,2001,0-3 ft,0.28,0.366,101.1
542,Cleveland Cavaliers,2001,3-10 ft,0.201,0.366,101.1
543,Cleveland Cavaliers,2001,10-16 ft,0.19,0.366,101.1
544,Cleveland Cavaliers,2001,Over 16 ft,0.228,0.366,101.1
545,Cleveland Cavaliers,2001,3P,0.101,0.366,101.1
546,Cleveland Cavaliers,2002,0-3 ft,0.255,0.354,105.41
547,Cleveland Cavaliers,2002,3-10 ft,0.141,0.354,105.41
548,Cleveland Cavaliers,2002,10-16 ft,0.206,0.354,105.41
549,Cleveland Cavaliers,2002,Over 16 ft,0.242,0.354,105.41
550,Cleveland Cavaliers,2002,3P,0.156,0.354,105.41
551,Cleveland Cavaliers,2003,0-3 ft,0.303,0.207,97.25
552,Cleveland Cavaliers,2003,3-10 ft,0.159,0.207,97.25
553,Cleveland Cavaliers,2003,10-16 ft,0.188,0.207,97.25
554,Cleveland Cavaliers,2003,Over 16 ft,0.216,0.207,97.25
555,Cleveland Cavaliers,2003,3P,0.133,0.207,97.25
556,Cleveland Cavaliers,2004,0-3 ft,0.318,0.427,102.1
557,Cleveland Cavaliers,2004,3-10 ft,0.173,0.427,102.1
558,Cleveland Cavaliers,2004,10-16 ft,0.196,0.427,102.1
559,Cleveland Cavaliers,2004,Over 16 ft,0.197,0.427,102.1
560,Cleveland Cavaliers,2004,3P,0.116,0.427,102.1
561,Cleveland Cavaliers,2005,0-3 ft,0.312,0.512,107.58
562,Cleveland Cavaliers,2005,3-10 ft,0.161,0.512,107.58
563,Cleveland Cavaliers,2005,10-16 ft,0.159,0.512,107.58
564,Cleveland Cavaliers,2005,Over 16 ft,0.233,0.512,107.58
565,Cleveland Cavaliers,2005,3P,0.135,0.512,107.58
566,Cleveland Cavaliers,2006,0-3 ft,0.351,0.61,108.49
567,Cleveland Cavaliers,2006,3-10 ft,0.121,0.61,108.49
568,Cleveland Cavaliers,2006,10-16 ft,0.103,0.61,108.49
569,Cleveland Cavaliers,2006,Over 16 ft,0.198,0.61,108.49
570,Cleveland Cavaliers,2006,3P,0.228,0.61,108.49
571,Cleveland Cavaliers,2007,0-3 ft,0.323,0.61,106.15
572,Cleveland Cavaliers,2007,3-10 ft,0.129,0.61,106.15
573,Cleveland Cavaliers,2007,10-16 ft,0.123,0.61,106.15
574,Cleveland Cavaliers,2007,Over 16 ft,0.214,0.61,106.15
575,Cleveland Cavaliers,2007,3P,0.211,0.61,106.15
576,Cleveland Cavaliers,2008,0-3 ft,0.321,0.549,106.66
577,Cleveland Cavaliers,2008,3-10 ft,0.105,0.549,106.66
578,Cleveland Cavaliers,2008,10-16 ft,0.106,0.549,106.66
579,Cleveland Cavaliers,2008,Over 16 ft,0.238,0.549,106.66
580,Cleveland Cavaliers,2008,3P,0.231,0.549,106.66
581,Cleveland Cavaliers,2009,0-3 ft,0.278,0.805,113.29
582,Cleveland Cavaliers,2009,3-10 ft,0.101,0.805,113.29
583,Cleveland Cavaliers,2009,10-16 ft,0.101,0.805,113.29
584,Cleveland Cavaliers,2009,Over 16 ft,0.262,0.805,113.29
585,Cleveland Cavaliers,2009,3P,0.259,0.805,113.29
586,Cleveland Cavaliers,2010,0-3 ft,0.339,0.744,112.27
587,Cleveland Cavaliers,2010,3-10 ft,0.119,0.744,112.27
588,Cleveland Cavaliers,2010,10-16 ft,0.08,0.744,112.27
589,Cleveland Cavaliers,2010,Over 16 ft,0.214,0.744,112.27
590,Cleveland Cavaliers,2010,3P,0.248,0.744,112.27
591,Cleveland Cavaliers,2011,0-3 ft,0.296,0.232,102.74
592,Cleveland Cavaliers,2011,3-10 ft,0.179,0.232,102.74
593,Cleveland Cavaliers,2011,10-16 ft,0.097,0.232,102.74
594,Cleveland Cavaliers,2011,Over 16 ft,0.203,0.232,102.74
595,Cleveland Cavaliers,2011,3P,0.224,0.232,102.74
596,Cleveland Cavaliers,2012,0-3 ft,0.326,0.318,101.86
597,Cleveland Cavaliers,2012,3-10 ft,0.188,0.318,101.86
598,Cleveland Cavaliers,2012,10-16 ft,0.081,0.318,101.86
599,Cleveland Cavaliers,2012,Over 16 ft,0.167,0.318,101.86
600,Cleveland Cavaliers,2012,3P,0.238,0.318,101.86
601,Cleveland Cavaliers,2013,0-3 ft,0.294,0.293,105.09
602,Cleveland Cavaliers,2013,3-10 ft,0.174,0.293,105.09
603,Cleveland Cavaliers,2013,10-16 ft,0.116,0.293,105.09
604,Cleveland Cavaliers,2013,Over 16 ft,0.188,0.293,105.09
605,Cleveland Cavaliers,2013,3P,0.229,0.293,105.09
606,Cleveland Cavaliers,2014,0-3 ft,0.269,0.402,104.95
607,Cleveland Cavaliers,2014,3-10 ft,0.17,0.402,104.95
608,Cleveland Cavaliers,2014,10-16 ft,0.128,0.402,104.95
609,Cleveland Cavaliers,2014,Over 16 ft,0.197,0.402,104.95
610,Cleveland Cavaliers,2014,3P,0.236,0.402,104.95
611,Cleveland Cavaliers,2015,0-3 ft,0.295,0.646,111.93
612,Cleveland Cavaliers,2015,3-10 ft,0.156,0.646,111.93
613,Cleveland Cavaliers,2015,10-16 ft,0.092,0.646,111.93
614,Cleveland Cavaliers,2015,Over 16 ft,0.124,0.646,111.93
615,Cleveland Cavaliers,2015,3P,0.334,0.646,111.93
616,Cleveland Cavaliers,2016,0-3 ft,0.28,0.695,111.8
617,Cleveland Cavaliers,2016,3-10 ft,0.149,0.695,111.8
618,Cleveland Cavaliers,2016,10-16 ft,0.095,0.695,111.8
619,Cleveland Cavaliers,2016,Over 16 ft,0.125,0.695,111.8
620,Cleveland Cavaliers,2016,3P,0.352,0.695,111.8
621,Cleveland Cavaliers,2017,0-3 ft,0.284,0.622,114.25
622,Cleveland Cavaliers,2017,3-10 ft,0.11,0.622,114.25
623,Cleveland Cavaliers,2017,10-16 ft,0.092,0.622,114.25
624,Cleveland Cavaliers,2017,Over 16 ft,0.115,0.622,114.25
625,Cleveland Cavaliers,2017,3P,0.399,0.622,114.25
626,Cleveland Cavaliers,2018,0-3 ft,0.297,0.61,113.58
627,Cleveland Cavaliers,2018,3-10 ft,0.113,0.61,113.58
628,Cleveland Cavaliers,2018,10-16 ft,0.092,0.61,113.58
629,Cleveland Cavaliers,2018,Over 16 ft,0.119,0.61,113.58
630,Cleveland Cavaliers,2018,3P,0.379,0.61,113.58
631,Dallas Mavericks,2001,0-3 ft,0.257,0.646,108
632,Dallas Mavericks,2001,3-10 ft,0.165,0.646,108
633,Dallas Mavericks,2001,10-16 ft,0.166,0.646,108
634,Dallas Mavericks,2001,Over 16 ft,0.21,0.646,108
635,Dallas Mavericks,2001,3P,0.202,0.646,108
636,Dallas Mavericks,2002,0-3 ft,0.281,0.695,112.8
637,Dallas Mavericks,2002,3-10 ft,0.121,0.695,112.8
638,Dallas Mavericks,2002,10-16 ft,0.146,0.695,112.8
639,Dallas Mavericks,2002,Over 16 ft,0.214,0.695,112.8
640,Dallas Mavericks,2002,3P,0.237,0.695,112.8
641,Dallas Mavericks,2003,0-3 ft,0.253,0.732,111.43
642,Dallas Mavericks,2003,3-10 ft,0.131,0.732,111.43
643,Dallas Mavericks,2003,10-16 ft,0.136,0.732,111.43
644,Dallas Mavericks,2003,Over 16 ft,0.241,0.732,111.43
645,Dallas Mavericks,2003,3P,0.239,0.732,111.43
646,Dallas Mavericks,2004,0-3 ft,0.29,0.634,113.01
647,Dallas Mavericks,2004,3-10 ft,0.159,0.634,113.01
648,Dallas Mavericks,2004,10-16 ft,0.129,0.634,113.01
649,Dallas Mavericks,2004,Over 16 ft,0.219,0.634,113.01
650,Dallas Mavericks,2004,3P,0.201,0.634,113.01
651,Dallas Mavericks,2005,0-3 ft,0.287,0.707,111.32
652,Dallas Mavericks,2005,3-10 ft,0.132,0.707,111.32
653,Dallas Mavericks,2005,10-16 ft,0.148,0.707,111.32
654,Dallas Mavericks,2005,Over 16 ft,0.243,0.707,111.32
655,Dallas Mavericks,2005,3P,0.19,0.707,111.32
656,Dallas Mavericks,2006,0-3 ft,0.287,0.732,112.87
657,Dallas Mavericks,2006,3-10 ft,0.143,0.732,112.87
658,Dallas Mavericks,2006,10-16 ft,0.178,0.732,112.87
659,Dallas Mavericks,2006,Over 16 ft,0.218,0.732,112.87
660,Dallas Mavericks,2006,3P,0.175,0.732,112.87
661,Dallas Mavericks,2007,0-3 ft,0.269,0.817,112.32
662,Dallas Mavericks,2007,3-10 ft,0.104,0.817,112.32
663,Dallas Mavericks,2007,10-16 ft,0.163,0.817,112.32
664,Dallas Mavericks,2007,Over 16 ft,0.246,0.817,112.32
665,Dallas Mavericks,2007,3P,0.218,0.817,112.32
666,Dallas Mavericks,2008,0-3 ft,0.264,0.622,111.9
667,Dallas Mavericks,2008,3-10 ft,0.108,0.622,111.9
668,Dallas Mavericks,2008,10-16 ft,0.17,0.622,111.9
669,Dallas Mavericks,2008,Over 16 ft,0.243,0.622,111.9
670,Dallas Mavericks,2008,3P,0.215,0.622,111.9
671,Dallas Mavericks,2009,0-3 ft,0.266,0.61,111.2
672,Dallas Mavericks,2009,3-10 ft,0.089,0.61,111.2
673,Dallas Mavericks,2009,10-16 ft,0.162,0.61,111.2
674,Dallas Mavericks,2009,Over 16 ft,0.242,0.61,111.2
675,Dallas Mavericks,2009,3P,0.241,0.61,111.2
676,Dallas Mavericks,2010,0-3 ft,0.282,0.671,110
677,Dallas Mavericks,2010,3-10 ft,0.127,0.671,110
678,Dallas Mavericks,2010,10-16 ft,0.142,0.671,110
679,Dallas Mavericks,2010,Over 16 ft,0.229,0.671,110
680,Dallas Mavericks,2010,3P,0.222,0.671,110
681,Dallas Mavericks,2011,0-3 ft,0.24,0.695,110.24
682,Dallas Mavericks,2011,3-10 ft,0.162,0.695,110.24
683,Dallas Mavericks,2011,10-16 ft,0.125,0.695,110.24
684,Dallas Mavericks,2011,Over 16 ft,0.199,0.695,110.24
685,Dallas Mavericks,2011,3P,0.274,0.695,110.24
686,Dallas Mavericks,2012,0-3 ft,0.24,0.545,104.08
687,Dallas Mavericks,2012,3-10 ft,0.167,0.545,104.08
688,Dallas Mavericks,2012,10-16 ft,0.148,0.545,104.08
689,Dallas Mavericks,2012,Over 16 ft,0.175,0.545,104.08
690,Dallas Mavericks,2012,3P,0.271,0.545,104.08
691,Dallas Mavericks,2013,0-3 ft,0.242,0.5,106.66
692,Dallas Mavericks,2013,3-10 ft,0.179,0.5,106.66
693,Dallas Mavericks,2013,10-16 ft,0.16,0.5,106.66
694,Dallas Mavericks,2013,Over 16 ft,0.182,0.5,106.66
695,Dallas Mavericks,2013,3P,0.236,0.5,106.66
696,Dallas Mavericks,2014,0-3 ft,0.262,0.598,111.95
697,Dallas Mavericks,2014,3-10 ft,0.156,0.598,111.95
698,Dallas Mavericks,2014,10-16 ft,0.135,0.598,111.95
699,Dallas Mavericks,2014,Over 16 ft,0.173,0.598,111.95
700,Dallas Mavericks,2014,3P,0.274,0.598,111.95
701,Dallas Mavericks,2015,0-3 ft,0.287,0.61,110.3
702,Dallas Mavericks,2015,3-10 ft,0.142,0.61,110.3
703,Dallas Mavericks,2015,10-16 ft,0.094,0.61,110.3
704,Dallas Mavericks,2015,Over 16 ft,0.182,0.61,110.3
705,Dallas Mavericks,2015,3P,0.296,0.61,110.3
706,Dallas Mavericks,2016,0-3 ft,0.243,0.512,107.29
707,Dallas Mavericks,2016,3-10 ft,0.149,0.512,107.29
708,Dallas Mavericks,2016,10-16 ft,0.111,0.512,107.29
709,Dallas Mavericks,2016,Over 16 ft,0.159,0.512,107.29
710,Dallas Mavericks,2016,3P,0.339,0.512,107.29
711,Dallas Mavericks,2017,0-3 ft,0.201,0.402,106.28
712,Dallas Mavericks,2017,3-10 ft,0.127,0.402,106.28
713,Dallas Mavericks,2017,10-16 ft,0.116,0.402,106.28
714,Dallas Mavericks,2017,Over 16 ft,0.189,0.402,106.28
715,Dallas Mavericks,2017,3P,0.366,0.402,106.28
716,Dallas Mavericks,2018,0-3 ft,0.241,0.293,106.92
717,Dallas Mavericks,2018,3-10 ft,0.135,0.293,106.92
718,Dallas Mavericks,2018,10-16 ft,0.105,0.293,106.92
719,Dallas Mavericks,2018,Over 16 ft,0.137,0.293,106.92
720,Dallas Mavericks,2018,3P,0.382,0.293,106.92
721,Denver Nuggets,2001,0-3 ft,0.295,0.488,104.26
722,Denver Nuggets,2001,3-10 ft,0.137,0.488,104.26
723,Denver Nuggets,2001,10-16 ft,0.138,0.488,104.26
724,Denver Nuggets,2001,Over 16 ft,0.221,0.488,104.26
725,Denver Nuggets,2001,3P,0.21,0.488,104.26
726,Denver Nuggets,2002,0-3 ft,0.3,0.329,102.34
727,Denver Nuggets,2002,3-10 ft,0.147,0.329,102.34
728,Denver Nuggets,2002,10-16 ft,0.121,0.329,102.34
729,Denver Nuggets,2002,Over 16 ft,0.245,0.329,102.34
730,Denver Nuggets,2002,3P,0.187,0.329,102.34
731,Denver Nuggets,2003,0-3 ft,0.297,0.207,93.2
732,Denver Nuggets,2003,3-10 ft,0.171,0.207,93.2
733,Denver Nuggets,2003,10-16 ft,0.135,0.207,93.2
734,Denver Nuggets,2003,Over 16 ft,0.272,0.207,93.2
735,Denver Nuggets,2003,3P,0.126,0.207,93.2
736,Denver Nuggets,2004,0-3 ft,0.345,0.524,104.61
737,Denver Nuggets,2004,3-10 ft,0.111,0.524,104.61
738,Denver Nuggets,2004,10-16 ft,0.127,0.524,104.61
739,Denver Nuggets,2004,Over 16 ft,0.272,0.524,104.61
740,Denver Nuggets,2004,3P,0.146,0.524,104.61
741,Denver Nuggets,2005,0-3 ft,0.364,0.598,106.6
742,Denver Nuggets,2005,3-10 ft,0.102,0.598,106.6
743,Denver Nuggets,2005,10-16 ft,0.117,0.598,106.6
744,Denver Nuggets,2005,Over 16 ft,0.274,0.598,106.6
745,Denver Nuggets,2005,3P,0.142,0.598,106.6
746,Denver Nuggets,2006,0-3 ft,0.367,0.537,106.16
747,Denver Nuggets,2006,3-10 ft,0.088,0.537,106.16
748,Denver Nuggets,2006,10-16 ft,0.103,0.537,106.16
749,Denver Nuggets,2006,Over 16 ft,0.28,0.537,106.16
750,Denver Nuggets,2006,3P,0.161,0.537,106.16
751,Denver Nuggets,2007,0-3 ft,0.37,0.549,108.12
752,Denver Nuggets,2007,3-10 ft,0.104,0.549,108.12
753,Denver Nuggets,2007,10-16 ft,0.1,0.549,108.12
754,Denver Nuggets,2007,Over 16 ft,0.214,0.549,108.12
755,Denver Nuggets,2007,3P,0.212,0.549,108.12
756,Denver Nuggets,2008,0-3 ft,0.362,0.61,110.46
757,Denver Nuggets,2008,3-10 ft,0.102,0.61,110.46
758,Denver Nuggets,2008,10-16 ft,0.1,0.61,110.46
759,Denver Nuggets,2008,Over 16 ft,0.208,0.61,110.46
760,Denver Nuggets,2008,3P,0.228,0.61,110.46
761,Denver Nuggets,2009,0-3 ft,0.376,0.659,111.03
762,Denver Nuggets,2009,3-10 ft,0.1,0.659,111.03
763,Denver Nuggets,2009,10-16 ft,0.081,0.659,111.03
764,Denver Nuggets,2009,Over 16 ft,0.216,0.659,111.03
765,Denver Nuggets,2009,3P,0.227,0.659,111.03
766,Denver Nuggets,2010,0-3 ft,0.351,0.646,112.32
767,Denver Nuggets,2010,3-10 ft,0.11,0.646,112.32
768,Denver Nuggets,2010,10-16 ft,0.094,0.646,112.32
769,Denver Nuggets,2010,Over 16 ft,0.218,0.646,112.32
770,Denver Nuggets,2010,3P,0.227,0.646,112.32
771,Denver Nuggets,2011,0-3 ft,0.349,0.61,112.84
772,Denver Nuggets,2011,3-10 ft,0.133,0.61,112.84
773,Denver Nuggets,2011,10-16 ft,0.074,0.61,112.84
774,Denver Nuggets,2011,Over 16 ft,0.186,0.61,112.84
775,Denver Nuggets,2011,3P,0.258,0.61,112.84
776,Denver Nuggets,2012,0-3 ft,0.404,0.576,109.95
777,Denver Nuggets,2012,3-10 ft,0.151,0.576,109.95
778,Denver Nuggets,2012,10-16 ft,0.077,0.576,109.95
779,Denver Nuggets,2012,Over 16 ft,0.125,0.576,109.95
780,Denver Nuggets,2012,3P,0.243,0.576,109.95
781,Denver Nuggets,2013,0-3 ft,0.415,0.695,111.23
782,Denver Nuggets,2013,3-10 ft,0.172,0.695,111.23
783,Denver Nuggets,2013,10-16 ft,0.08,0.695,111.23
784,Denver Nuggets,2013,Over 16 ft,0.115,0.695,111.23
785,Denver Nuggets,2013,3P,0.217,0.695,111.23
786,Denver Nuggets,2014,0-3 ft,0.309,0.439,106.59
787,Denver Nuggets,2014,3-10 ft,0.182,0.439,106.59
788,Denver Nuggets,2014,10-16 ft,0.08,0.439,106.59
789,Denver Nuggets,2014,Over 16 ft,0.15,0.439,106.59
790,Denver Nuggets,2014,3P,0.278,0.439,106.59
791,Denver Nuggets,2015,0-3 ft,0.297,0.366,105.11
792,Denver Nuggets,2015,3-10 ft,0.177,0.366,105.11
793,Denver Nuggets,2015,10-16 ft,0.09,0.366,105.11
794,Denver Nuggets,2015,Over 16 ft,0.151,0.366,105.11
795,Denver Nuggets,2015,3P,0.284,0.366,105.11
796,Denver Nuggets,2016,0-3 ft,0.342,0.402,106.22
797,Denver Nuggets,2016,3-10 ft,0.158,0.402,106.22
798,Denver Nuggets,2016,10-16 ft,0.08,0.402,106.22
799,Denver Nuggets,2016,Over 16 ft,0.142,0.402,106.22
800,Denver Nuggets,2016,3P,0.277,0.402,106.22
801,Denver Nuggets,2017,0-3 ft,0.33,0.488,113.9
802,Denver Nuggets,2017,3-10 ft,0.156,0.488,113.9
803,Denver Nuggets,2017,10-16 ft,0.078,0.488,113.9
804,Denver Nuggets,2017,Over 16 ft,0.108,0.488,113.9
805,Denver Nuggets,2017,3P,0.329,0.488,113.9
806,Denver Nuggets,2018,0-3 ft,0.275,0.561,113.02
807,Denver Nuggets,2018,3-10 ft,0.204,0.561,113.02
808,Denver Nuggets,2018,10-16 ft,0.09,0.561,113.02
809,Denver Nuggets,2018,Over 16 ft,0.074,0.561,113.02
810,Denver Nuggets,2018,3P,0.357,0.561,113.02
811,Detroit Pistons,2001,0-3 ft,0.295,0.39,100.61
812,Detroit Pistons,2001,3-10 ft,0.109,0.39,100.61
813,Detroit Pistons,2001,10-16 ft,0.15,0.39,100.61
814,Detroit Pistons,2001,Over 16 ft,0.284,0.39,100.61
815,Detroit Pistons,2001,3P,0.162,0.39,100.61
816,Detroit Pistons,2002,0-3 ft,0.283,0.61,105.77
817,Detroit Pistons,2002,3-10 ft,0.124,0.61,105.77
818,Detroit Pistons,2002,10-16 ft,0.146,0.61,105.77
819,Detroit Pistons,2002,Over 16 ft,0.207,0.61,105.77
820,Detroit Pistons,2002,3P,0.24,0.61,105.77
821,Detroit Pistons,2003,0-3 ft,0.264,0.61,104.84
822,Detroit Pistons,2003,3-10 ft,0.135,0.61,104.84
823,Detroit Pistons,2003,10-16 ft,0.145,0.61,104.84
824,Detroit Pistons,2003,Over 16 ft,0.219,0.61,104.84
825,Detroit Pistons,2003,3P,0.237,0.61,104.84
826,Detroit Pistons,2004,0-3 ft,0.34,0.659,103.18
827,Detroit Pistons,2004,3-10 ft,0.153,0.659,103.18
828,Detroit Pistons,2004,10-16 ft,0.175,0.659,103.18
829,Detroit Pistons,2004,Over 16 ft,0.179,0.659,103.18
830,Detroit Pistons,2004,3P,0.153,0.659,103.18
831,Detroit Pistons,2005,0-3 ft,0.321,0.659,106.49
832,Detroit Pistons,2005,3-10 ft,0.117,0.659,106.49
833,Detroit Pistons,2005,10-16 ft,0.183,0.659,106.49
834,Detroit Pistons,2005,Over 16 ft,0.215,0.659,106.49
835,Detroit Pistons,2005,3P,0.164,0.659,106.49
836,Detroit Pistons,2006,0-3 ft,0.269,0.78,111.59
837,Detroit Pistons,2006,3-10 ft,0.086,0.78,111.59
838,Detroit Pistons,2006,10-16 ft,0.174,0.78,111.59
839,Detroit Pistons,2006,Over 16 ft,0.249,0.78,111.59
840,Detroit Pistons,2006,3P,0.221,0.78,111.59
841,Detroit Pistons,2007,0-3 ft,0.291,0.646,109.8
842,Detroit Pistons,2007,3-10 ft,0.11,0.646,109.8
843,Detroit Pistons,2007,10-16 ft,0.182,0.646,109.8
844,Detroit Pistons,2007,Over 16 ft,0.216,0.646,109.8
845,Detroit Pistons,2007,3P,0.201,0.646,109.8
846,Detroit Pistons,2008,0-3 ft,0.265,0.72,112.09
847,Detroit Pistons,2008,3-10 ft,0.085,0.72,112.09
848,Detroit Pistons,2008,10-16 ft,0.153,0.72,112.09
849,Detroit Pistons,2008,Over 16 ft,0.295,0.72,112.09
850,Detroit Pistons,2008,3P,0.203,0.72,112.09
851,Detroit Pistons,2009,0-3 ft,0.284,0.476,108.21
852,Detroit Pistons,2009,3-10 ft,0.091,0.476,108.21
853,Detroit Pistons,2009,10-16 ft,0.156,0.476,108.21
854,Detroit Pistons,2009,Over 16 ft,0.304,0.476,108.21
855,Detroit Pistons,2009,3P,0.165,0.476,108.21
856,Detroit Pistons,2010,0-3 ft,0.319,0.329,106.6
857,Detroit Pistons,2010,3-10 ft,0.125,0.329,106.6
858,Detroit Pistons,2010,10-16 ft,0.145,0.329,106.6
859,Detroit Pistons,2010,Over 16 ft,0.23,0.329,106.6
860,Detroit Pistons,2010,3P,0.18,0.329,106.6
861,Detroit Pistons,2011,0-3 ft,0.307,0.366,108.37
862,Detroit Pistons,2011,3-10 ft,0.15,0.366,108.37
863,Detroit Pistons,2011,10-16 ft,0.132,0.366,108.37
864,Detroit Pistons,2011,Over 16 ft,0.222,0.366,108.37
865,Detroit Pistons,2011,3P,0.189,0.366,108.37
866,Detroit Pistons,2012,0-3 ft,0.329,0.379,102.13
867,Detroit Pistons,2012,3-10 ft,0.172,0.379,102.13
868,Detroit Pistons,2012,10-16 ft,0.107,0.379,102.13
869,Detroit Pistons,2012,Over 16 ft,0.216,0.379,102.13
870,Detroit Pistons,2012,3P,0.175,0.379,102.13
871,Detroit Pistons,2013,0-3 ft,0.37,0.354,104.57
872,Detroit Pistons,2013,3-10 ft,0.172,0.354,104.57
